,gni_pc,married_by_18,firm_f_ownership,share_senior_f,parlia_w,fertility,birth_register,water_perc,elec_perc,homocides,Internetuse,poverty,literacy,life_expectancy,country,employment_gap,mobilemoney_access_gap
26,9130.0,,,38.4,15.0,1.736,96.15,85.8,99.8,28.6,67.5,3.8200000000000003,92.1403026575,75.66460000000001,Brazil,-9.700000000000003,5.299999999999997
27,32230.0,,,37.0,9.0,1.8821428571428573,,,100.0,0.5,94.9,,96.649837495,75.723,Brunei Darussalam,2.9000000000000057,
28,9570.0,,41.5,39.3,24.0,1.5514285714285714,100.0,97.6,100.0,1.8,63.4,1.8333333333333333,98.35244751,74.66195121800001,Bulgaria,-5.1000000000000085,-3.0
29,780.0,,,,6.0,5.272571428571429,,,17.2,0.6,12.0,38.75,36.972625735,61.1708,Burkina Faso,5.399999999999999,16.799999999999997
30,280.0,19.0,44.0,,38.0,5.509,83.5,,9.3,4.5,2.7,72.8,64.944408415,61.2346,Burundi,9.6,
31,1530.0,18.5,46.2,20.1,22.0,2.535571428571429,73.3,27.8,89.1,,32.9,,79.29079056,69.5426,Cambodia,11.900000000000006,0.3000000000000007
32,1500.0,29.8,39.7,,34.0,4.641714285714286,64.0,,61.0,1.2,23.2,26.0,77.07103729,58.882600000000004,Cameroon,16.499999999999996,9.200000000000003
33,46370.0,,,,30.0,1.5299999999999998,100.0,99.0,100.0,1.7,92.7,0.25,,81.92926829400001,Canada,-6.299999999999997,-0.30000000000001137
34,3630.0,,,,39.0,2.313428571428571,,,91.3,8.8,57.2,3.4,86.05904007000001,72.76919999999998,Cabo Verde,4.799999999999997,
35,47320.0,,,,,,,,100.0,8.2,81.1,,,,Cayman Islands,,
36,520.0,61.0,53.3,,13.0,4.792571428571429,44.8,6.2,14.2,,4.0,,37.39582062,52.720000000000006,Central African Republic,6.7,8.400000000000002
37,700.0,60.6,13.1,,32.0,5.849285714285714,18.85,5.6,10.9,,6.5,35.650000000000006,24.15727043,53.97420000000001,Chad,11.7,14.1
38,,,,,,1.5244285714285717,,92.0,100.0,,,,,82.924,Channel Islands,0.0,
39,15010.0,,,,35.0,1.6878571428571427,,98.8,99.7,3.4,82.3,0.45999999999999996,96.5616207125,80.048,Chile,-2.4000000000000057,6.5
40,10410.0,,64.2,,25.0,1.6807142857142858,,,100.0,0.7,54.3,2.1888888888888887,96.84088898,76.6786,China,2.0999999999999943,7.599999999999994
41,50800.0,,,,,1.1074285714285714,,100.0,100.0,0.3,89.4,,,84.86146341399999,Hong Kong SAR China,-6.3999999999999915,1.2999999999999972
42,78640.0,,,,,1.215142857142857,,100.0,100.0,0.2,83.2,,96.08926392000001,84.11500000000001,Macao SAR China,-5.5,
43,6510.0,23.4,66.9,,19.0,1.8258571428571426,96.8,73.0,98.5,26.9,62.3,5.56,94.66339656285716,77.1026,Colombia,-1.7999999999999972,6.899999999999999
44,1400.0,,,,17.0,4.2782857142857145,87.3,,79.2,,8.5,19.1,54.006580355,64.1152,Comoros,17.7,
45,530.0,29.1,15.1,,13.0,6.010714285714286,32.35,19.0,18.0,,8.6,77.2,76.02993393,60.3402,Congo Dem. Rep.,19.5,3.1999999999999993
46,1720.0,27.3,,,11.0,4.480285714285714,93.35,45.9,46.1,,8.7,39.6,79.804965975,64.23479999999999,Congo Rep.,24.999999999999996,10.2
47,11700.0,17.1,,,46.0,1.7717142857142856,100.0,80.5,99.6,11.5,71.6,1.48,97.63518524,80.09819999999999,Costa Rica,-4.800000000000011,14.600000000000001
48,2290.0,27.0,24.4,22.2,14.0,4.703,68.35,35.2,65.6,,43.8,19.5,58.26115544666667,57.37859999999999,Cote d'Ivoire,17.4,11.0
49,14980.0,,36.3,27.9,31.0,1.4485714285714286,100.0,,100.0,0.9,67.1,0.6222222222222222,99.12535858,78.01365853600001,Croatia,-5.8999999999999915,7.099999999999994
50,,29.4,,,53.0,1.6375714285714287,99.9,,99.2,5.5,57.1,,99.75253296,78.73780000000001,Cuba,-24.60000000000001,
51,20350.0,,,,,1.7142857142857142,,,100.0,,68.1,,,77.868292685,Curacao,,
52,27710.0,,,27.0,14.0,1.3375714285714284,100.0,99.8,100.0,1.3,80.7,0.044444444444444446,98.67842865,80.826,Cyprus,-5.799999999999997,-2.700000000000003
53,21940.0,,30.4,24.1,25.0,1.6500000000000001,100.0,97.9,100.0,0.8,78.7,0.0,,78.89804878,Czech Republic,-8.100000000000009,5.0
54,63950.0,,,27.0,40.0,1.72,100.0,96.7,100.0,1.1,97.1,0.17777777777777778,,81.18243902399999,Denmark,-5.599999999999994,-0.20000000000000284
55,3310.0,,22.3,,26.0,2.7935714285714286,,,60.2,,55.7,19.166666666666668,,66.42819999999999,Djibouti,12.300000000000004,
56,7920.0,,,,34.0,,,,100.0,12.6,69.6,,,,Dominica,,
57,8080.0,35.9,32.2,50.5,28.0,2.364285714285714,86.35,,100.0,17.8,67.6,1.57,91.442189535,73.878,Dominican Republic,-20.199999999999996,4.299999999999997
58,6090.0,22.2,70.4,35.2,39.0,2.451,89.36666666666667,66.8,99.2,6.5,54.1,3.87,93.30383396124999,76.795,Ecuador,14.899999999999999,17.6
59,2690.0,17.4,17.8,,28.0,3.357,99.4,,100.0,2.6,45.0,2.3000000000000003,72.49211375,71.82060000000001,Egypt Arab Rep.,1.2000000000000028,11.700000000000003
60,4000.0,25.5,38.4,32.7,27.0,2.061,94.85,,96.8,105.2,33.8,2.7111111111111112,87.85748727,73.09240000000001,El Salvador,14.199999999999996,13.200000000000003
61,6460.0,,,,23.0,4.601428571428571,,,66.3,,18.9,,,58.393600000000006,Equatorial Guinea,0.0,
62,,,,,22.0,4.107428571428572,,,48.0,,1.3,,76.57051849,65.918,Eritrea,0.0,
63,23260.0,,38.3,34.3,26.0,1.602857142857143,100.0,95.8,100.0,3.4,88.1,0.588888888888889,99.88578796,78.19414634,Estonia,-7.5,-0.9000000000000057
64,3670.0,5.3,36.0,54.6,10.0,3.012571428571429,53.5,,73.5,10.1,25.6,29.2,88.41938019,59.119400000000006,Eswatini,11.600000000000009,
65,850.0,40.3,36.2,21.1,43.0,4.355428571428571,2.7,12.6,44.3,8.8,18.6,30.8,51.7711792,66.2288,Ethiopia,4.6,11.799999999999997
